| epoch   0 | step      0 | train loss    0.676 | train acc    0.781
| eval in epoch   0 | val loss:    0.588 | val acc:    0.799
| epoch   0 | step    100 | train loss    0.099 | train acc    0.969
| epoch   0 | step    200 | train loss    0.132 | train acc    0.938
| epoch   0 | step    300 | train loss    0.178 | train acc    0.969
| epoch   0 | step      0 | train loss    0.676 | train acc    0.688
| eval in epoch   0 | val loss:    0.561 | val acc:    0.799
| epoch   0 | step    100 | train loss    0.575 | train acc    0.750
| epoch   0 | step     99 | train loss    0.496 | train acc    0.812
| epoch   0 | step    199 | train loss    0.462 | train acc    0.781
| epoch   0 | step    299 | train loss    0.332 | train acc    0.906
| epoch   0 | step     99 | train loss    0.253 | train acc     93.8%
| epoch   0 | step    199 | train loss    0.108 | train acc     96.9%
| epoch   0 | step    299 | train loss    0.115 | train acc     93.8%
| epoch   0 | step    399 | train loss    0.128 | train acc     96.9%
| epoch   0 | step    499 | train loss    0.063 | train acc    100.0%
| epoch   0 | step    599 | train loss    0.201 | train acc     96.9%
| epoch   0 | step    100 | train loss    0.142 | train acc    100.0%
| epoch   0 | step    200 | train loss    0.240 | train acc     93.8%
| epoch   0 | step    300 | train loss    0.183 | train acc     96.9%
| epoch   0 | step    400 | train loss    0.045 | train acc    100.0%
| epoch   0 | step    500 | train loss    0.081 | train acc     96.9%
| epoch   0 | step    600 | train loss    0.061 | train acc    100.0%
| epoch   0 | step    700 | train loss    0.009 | train acc    100.0%
| epoch   0 | step    800 | train loss    0.091 | train acc     93.8%
| epoch   0 | step    900 | train loss    0.026 | train acc    100.0%
| epoch   0 | step   1000 | train loss    0.049 | train acc    100.0%
| eval in epoch   0 | val loss:    0.074 | val acc:     97.4%
| epoch   0 | step   1100 | train loss    0.028 | train acc    100.0%
| epoch   0 | step   1200 | train loss    0.017 | train acc    100.0%
| epoch   0 | step   1300 | train loss    0.089 | train acc     93.8%
| epoch   0 | step   1400 | train loss    0.227 | train acc     93.8%
| epoch   0 | step   1500 | train loss    0.037 | train acc     96.9%
| epoch   0 | step   1600 | train loss    0.002 | train acc    100.0%
| epoch   0 | step   1700 | train loss    0.124 | train acc     96.9%
| epoch   0 | step   1800 | train loss    0.044 | train acc    100.0%
| epoch   0 | step   1900 | train loss    0.037 | train acc     96.9%
| epoch   0 | step   2000 | train loss    0.034 | train acc    100.0%
| eval in epoch   0 | val loss:    0.063 | val acc:     97.6%
| epoch   0 | step   2100 | train loss    0.055 | train acc     96.9%
| epoch   0 | step   2200 | train loss    0.004 | train acc    100.0%
| epoch   0 | step   2300 | train loss    0.066 | train acc     93.8%
| epoch   0 | step   2400 | train loss    0.006 | train acc    100.0%
| epoch   0 | step   2500 | train loss    0.130 | train acc     93.8%
| epoch   0 | step   2600 | train loss    0.039 | train acc    100.0%
| epoch   0 | step   2700 | train loss    0.007 | train acc    100.0%
| epoch   0 | step   2800 | train loss    0.005 | train acc    100.0%
| epoch   1 | step    100 | train loss    0.010 | train acc    100.0%
| epoch   1 | step    200 | train loss    0.280 | train acc     90.6%
| epoch   1 | step    300 | train loss    0.003 | train acc    100.0%
| epoch   1 | step    400 | train loss    0.004 | train acc    100.0%
| epoch   1 | step    500 | train loss    0.005 | train acc    100.0%
| epoch   1 | step    600 | train loss    0.002 | train acc    100.0%
| epoch   1 | step    700 | train loss    0.157 | train acc     96.9%
| epoch   1 | step    800 | train loss    0.008 | train acc    100.0%
| epoch   1 | step    900 | train loss    0.003 | train acc    100.0%
| epoch   1 | step   1000 | train loss    0.041 | train acc    100.0%
| eval in epoch   1 | val loss:    0.048 | val acc:     98.3%
| epoch   1 | step   1100 | train loss    0.007 | train acc    100.0%
| epoch   1 | step   1200 | train loss    0.064 | train acc     96.9%
| epoch   1 | step   1300 | train loss    0.014 | train acc    100.0%
| epoch   1 | step   1400 | train loss    0.177 | train acc     96.9%
| epoch   1 | step   1500 | train loss    0.094 | train acc     96.9%
| epoch   1 | step   1600 | train loss    0.001 | train acc    100.0%
| epoch   1 | step   1700 | train loss    0.013 | train acc    100.0%
| epoch   1 | step   1800 | train loss    0.017 | train acc    100.0%
| epoch   1 | step   1900 | train loss    0.047 | train acc     96.9%
| epoch   1 | step   2000 | train loss    0.004 | train acc    100.0%
| eval in epoch   1 | val loss:    0.047 | val acc:     98.4%
| epoch   1 | step   2100 | train loss    0.017 | train acc    100.0%
| epoch   1 | step   2200 | train loss    0.024 | train acc    100.0%
| epoch   1 | step   2300 | train loss    0.001 | train acc    100.0%
| epoch   1 | step   2400 | train loss    0.012 | train acc    100.0%
| epoch   1 | step   2500 | train loss    0.019 | train acc    100.0%
| epoch   1 | step   2600 | train loss    0.010 | train acc    100.0%
| epoch   1 | step   2700 | train loss    0.210 | train acc     96.9%
| epoch   1 | step   2800 | train loss    0.086 | train acc     93.8%
| epoch   2 | step    100 | train loss    0.003 | train acc    100.0%
| epoch   2 | step    200 | train loss    0.016 | train acc    100.0%
| epoch   2 | step    300 | train loss    0.006 | train acc    100.0%
| epoch   2 | step    400 | train loss    0.001 | train acc    100.0%
| epoch   2 | step    500 | train loss    0.015 | train acc    100.0%
| epoch   2 | step    600 | train loss    0.001 | train acc    100.0%
| epoch   2 | step    700 | train loss    0.009 | train acc    100.0%
| epoch   2 | step    800 | train loss    0.065 | train acc     96.9%
| epoch   2 | step    900 | train loss    0.029 | train acc    100.0%
| epoch   2 | step   1000 | train loss    0.191 | train acc     96.9%
| eval in epoch   2 | val loss:    0.048 | val acc:     98.2%
| epoch   2 | step   1100 | train loss    0.004 | train acc    100.0%
| epoch   2 | step   1200 | train loss    0.013 | train acc    100.0%
| epoch   2 | step   1300 | train loss    0.077 | train acc     96.9%
| epoch   2 | step   1400 | train loss    0.016 | train acc    100.0%
| epoch   2 | step   1500 | train loss    0.001 | train acc    100.0%
| epoch   2 | step   1600 | train loss    0.038 | train acc     96.9%
| epoch   2 | step   1700 | train loss    0.001 | train acc    100.0%
| epoch   2 | step   1800 | train loss    0.049 | train acc     96.9%
| epoch   2 | step   1900 | train loss    0.004 | train acc    100.0%
| epoch   2 | step   2000 | train loss    0.027 | train acc    100.0%
| eval in epoch   2 | val loss:    0.044 | val acc:     98.5%
| epoch   2 | step   2100 | train loss    0.002 | train acc    100.0%
| epoch   2 | step   2200 | train loss    0.008 | train acc    100.0%
| epoch   2 | step   2300 | train loss    0.011 | train acc    100.0%
| epoch   2 | step   2400 | train loss    0.003 | train acc    100.0%
| epoch   2 | step   2500 | train loss    0.045 | train acc     96.9%
| epoch   2 | step   2600 | train loss    0.001 | train acc    100.0%
| epoch   2 | step   2700 | train loss    0.024 | train acc    100.0%
| epoch   2 | step   2800 | train loss    0.017 | train acc    100.0%
| epoch   3 | step    100 | train loss    0.002 | train acc    100.0%
| epoch   3 | step    200 | train loss    0.008 | train acc    100.0%
| epoch   3 | step    300 | train loss    0.001 | train acc    100.0%
| epoch   3 | step    400 | train loss    0.049 | train acc     96.9%
| epoch   3 | step    500 | train loss    0.003 | train acc    100.0%
| epoch   3 | step    600 | train loss    0.020 | train acc    100.0%
| epoch   3 | step    700 | train loss    0.013 | train acc    100.0%
| epoch   3 | step    800 | train loss    0.001 | train acc    100.0%
| epoch   3 | step    900 | train loss    0.001 | train acc    100.0%
| epoch   3 | step   1000 | train loss    0.079 | train acc     96.9%
| eval in epoch   3 | val loss:    0.047 | val acc:     98.0%
| epoch   3 | step   1100 | train loss    0.005 | train acc    100.0%
| epoch   3 | step   1200 | train loss    0.001 | train acc    100.0%
| epoch   3 | step   1300 | train loss    0.004 | train acc    100.0%
| epoch   3 | step   1400 | train loss    0.005 | train acc    100.0%
| epoch   3 | step   1500 | train loss    0.011 | train acc    100.0%
| epoch   3 | step   1600 | train loss    0.054 | train acc     96.9%
| epoch   3 | step   1700 | train loss    0.004 | train acc    100.0%
| epoch   3 | step   1800 | train loss    0.101 | train acc     96.9%
| epoch   3 | step   1900 | train loss    0.075 | train acc     96.9%
| epoch   3 | step   2000 | train loss    0.045 | train acc     96.9%
| eval in epoch   3 | val loss:    0.043 | val acc:     98.4%
| epoch   3 | step   2100 | train loss    0.028 | train acc    100.0%
| epoch   3 | step   2200 | train loss    0.002 | train acc    100.0%
| epoch   3 | step   2300 | train loss    0.001 | train acc    100.0%
| epoch   3 | step   2400 | train loss    0.006 | train acc    100.0%
| epoch   3 | step   2500 | train loss    0.024 | train acc     96.9%
| epoch   3 | step   2600 | train loss    0.002 | train acc    100.0%
| epoch   3 | step   2700 | train loss    0.015 | train acc    100.0%
| epoch   3 | step   2800 | train loss    0.001 | train acc    100.0%
| epoch   4 | step    100 | train loss    0.000 | train acc    100.0%
| epoch   4 | step    200 | train loss    0.004 | train acc    100.0%
| epoch   4 | step    300 | train loss    0.001 | train acc    100.0%
| epoch   4 | step    400 | train loss    0.015 | train acc    100.0%
| epoch   4 | step    500 | train loss    0.013 | train acc    100.0%
| epoch   4 | step    600 | train loss    0.017 | train acc    100.0%
| epoch   4 | step    700 | train loss    0.085 | train acc     96.9%
| epoch   4 | step    800 | train loss    0.004 | train acc    100.0%
| epoch   4 | step    900 | train loss    0.048 | train acc     96.9%
| epoch   4 | step   1000 | train loss    0.001 | train acc    100.0%
| eval in epoch   4 | val loss:    0.043 | val acc:     98.5%
| epoch   4 | step   1100 | train loss    0.001 | train acc    100.0%
| epoch   4 | step   1200 | train loss    0.000 | train acc    100.0%
| epoch   4 | step   1300 | train loss    0.003 | train acc    100.0%
| epoch   4 | step   1400 | train loss    0.071 | train acc     96.9%
| epoch   4 | step   1500 | train loss    0.006 | train acc    100.0%
| epoch   4 | step   1600 | train loss    0.000 | train acc    100.0%
| epoch   4 | step   1700 | train loss    0.000 | train acc    100.0%
| epoch   4 | step   1800 | train loss    0.001 | train acc    100.0%
| epoch   4 | step   1900 | train loss    0.003 | train acc    100.0%
| epoch   4 | step   2000 | train loss    0.000 | train acc    100.0%
| eval in epoch   4 | val loss:    0.043 | val acc:     98.6%
| epoch   4 | step   2100 | train loss    0.000 | train acc    100.0%
| epoch   4 | step   2200 | train loss    0.045 | train acc     96.9%
| epoch   4 | step   2300 | train loss    0.037 | train acc     96.9%
| epoch   4 | step   2400 | train loss    0.031 | train acc     96.9%
| epoch   4 | step   2500 | train loss    0.003 | train acc    100.0%
| epoch   4 | step   2600 | train loss    0.000 | train acc    100.0%
| epoch   4 | step   2700 | train loss    0.001 | train acc    100.0%
| epoch   4 | step   2800 | train loss    0.053 | train acc     96.9%
| epoch   0 | step    100 | train loss    0.168 | train acc     87.5%
| epoch   0 | step    200 | train loss    0.064 | train acc    100.0%
| epoch   0 | step    300 | train loss    0.093 | train acc     96.9%
| epoch   0 | step    400 | train loss    0.150 | train acc     96.9%
| epoch   0 | step    500 | train loss    0.032 | train acc    100.0%
| epoch   0 | step    600 | train loss    0.022 | train acc    100.0%
| epoch   0 | step    700 | train loss    0.077 | train acc     96.9%
| epoch   0 | step    800 | train loss    0.028 | train acc    100.0%
| epoch   0 | step    900 | train loss    0.019 | train acc    100.0%
| epoch   0 | step   1000 | train loss    0.053 | train acc     96.9%
| eval in epoch   0 | val loss:    0.123 | val acc:     97.0%
| epoch   0 | step   1100 | train loss    0.055 | train acc     96.9%
| epoch   0 | step   1200 | train loss    0.009 | train acc    100.0%
| epoch   0 | step   1300 | train loss    0.152 | train acc     96.9%
| epoch   0 | step   1400 | train loss    0.043 | train acc    100.0%
| epoch   0 | step   1500 | train loss    0.137 | train acc     96.9%
| epoch   0 | step   1600 | train loss    0.036 | train acc     96.9%
| epoch   0 | step   1700 | train loss    0.009 | train acc    100.0%
| epoch   0 | step   1800 | train loss    0.111 | train acc     93.8%
| epoch   0 | step   1900 | train loss    0.003 | train acc    100.0%
| epoch   0 | step   2000 | train loss    0.006 | train acc    100.0%
| eval in epoch   0 | val loss:    0.086 | val acc:     98.0%
| epoch   0 | step   2100 | train loss    0.038 | train acc    100.0%
| epoch   0 | step   2200 | train loss    0.027 | train acc    100.0%
| epoch   0 | step   2300 | train loss    0.108 | train acc     96.9%
| epoch   0 | step   2400 | train loss    0.003 | train acc    100.0%
| epoch   0 | step   2500 | train loss    0.028 | train acc    100.0%
| epoch   0 | step   2600 | train loss    0.014 | train acc    100.0%
| epoch   0 | step   2700 | train loss    0.072 | train acc     96.9%
| epoch   0 | step   2800 | train loss    0.018 | train acc    100.0%
| epoch   1 | step    100 | train loss    0.070 | train acc     96.9%
| epoch   1 | step    200 | train loss    0.030 | train acc    100.0%
| epoch   1 | step    300 | train loss    0.074 | train acc     93.8%
| epoch   1 | step    400 | train loss    0.035 | train acc    100.0%
| epoch   1 | step    500 | train loss    0.117 | train acc     93.8%
| epoch   1 | step    600 | train loss    0.017 | train acc    100.0%
| epoch   1 | step    700 | train loss    0.001 | train acc    100.0%
| epoch   1 | step    800 | train loss    0.002 | train acc    100.0%
| epoch   1 | step    900 | train loss    0.168 | train acc     96.9%
| epoch   1 | step   1000 | train loss    0.019 | train acc    100.0%
| eval in epoch   1 | val loss:    0.072 | val acc:     98.2%
| epoch   1 | step   1100 | train loss    0.003 | train acc    100.0%
| epoch   1 | step   1200 | train loss    0.041 | train acc     96.9%
| epoch   1 | step   1300 | train loss    0.007 | train acc    100.0%
| epoch   1 | step   1400 | train loss    0.015 | train acc    100.0%
| epoch   1 | step   1500 | train loss    0.017 | train acc    100.0%
| epoch   1 | step   1600 | train loss    0.080 | train acc     96.9%
| epoch   1 | step   1700 | train loss    0.290 | train acc     93.8%
| epoch   1 | step   1800 | train loss    0.002 | train acc    100.0%
| epoch   1 | step   1900 | train loss    0.034 | train acc     96.9%
| epoch   1 | step   2000 | train loss    0.003 | train acc    100.0%
| eval in epoch   1 | val loss:    0.078 | val acc:     98.3%
| epoch   1 | step   2100 | train loss    0.019 | train acc    100.0%
